id,program_id,label,value,display_order,template_id
41,1568,"Certification Requirements","Manufacturers certify to the New Jersey Commissioner of Environmental Protection that specified products meet minimum efficiency standards.  
",2,3
42,1569,"Certification Requirements","To be determined",2,3
43,1563,"Certification Requirements","Manufacturers certify to the Secretary of the Office of Policy and Management that products meet minimum efficiency standards",2,3
44,1564,"Certification Requirements","Manufacturers certify to the Maryland Energy Administration that specified products comply with minimum efficiency standards",2,3
45,1559,"Certification Requirements","Manufacturers must certify to the Governor's Energy Office that products meet efficiency standards. Certification to other states with like standards is permitted as an alternative.",2,3
46,1567,Review,"Biannual report",3,4
47,1579,Review,"State Department of Energy periodically reviews the standards and reports to the Legislative Assembly",3,4
48,1582,Review,"Not specified; increased efficiency standards for the products currently covered may be adopted",3,4
49,1584,Review,"Not specified; increased efficiency standards for the products currently covered may be adopted. 
",3,4
50,1583,Review,"Not specified; increased efficiency standards for the products currently covered may be adopted. 
",3,4
51,3132,Review,,3,4
52,1709,Review,,3,4
53,2828,Review,,3,4
54,1562,Review,"Not specified",3,4
55,5456,Review,,3,4
56,1568,Review,"Not specified",3,4
57,1569,Review,"Not specified",3,4
58,1563,Review,"Before July 2007 and biennially thereafter",3,4
59,1564,Review,"Every 2 years",3,4
60,1559,Review,"Beginning on May 31, 2008, and triennially thereafter",3,4
61,1567,"Implementing Agency","MA Department of Energy Resources",4,5
62,1579,"Implementing Agency","Oregon State Department of Energy",4,5
63,1582,"Implementing Agency","Rhode Island Office of Energy Resources",4,5
64,1584,"Implementing Agency","Washington State Department of Commerce
",4,5
65,1583,"Implementing Agency","VT Department of Public Service",4,5
66,3132,"Implementing Agency",,4,5
67,1709,"Implementing Agency","U.S. Department of Energy",4,5
68,2828,"Implementing Agency","Nevada Governor's Office of Energy",4,5
69,1562,"Implementing Agency",,4,5
70,5456,"Implementing Agency",,4,5
71,1568,"Implementing Agency","New Jersey Board of Public Utilities and the Commissioner of Environmental Protection",4,5
72,1569,"Implementing Agency","New York Secretary of State
",4,5
73,1563,"Implementing Agency","Department of Energy and Environmental Protection",4,5
74,1564,"Implementing Agency","Maryland Energy Administration",4,5
75,1559,"Implementing Agency","Governor's Energy Office",4,5
76,5407,"Incentive Amount","Locally Determined",0,6
77,1130,"Incentive Amount","Varies by technology",0,6
78,1133,"Incentive Amount",,0,6
79,3567,"Incentive Amount","Varies by project",0,6
80,5437,"Incentive Amount",,0,6
81,364,"Incentive Amount",Varies,0,6
82,365,"Incentive Amount",,0,6
83,1205,"Incentive Amount","Varies by loan amount",0,6
84,5407,"Maximum Incentive","Locally Determined",1,7
85,1130,"Maximum Incentive",,1,7
86,1133,"Maximum Incentive",,1,7
87,3567,"Maximum Incentive",,1,7
88,5437,"Maximum Incentive",,1,7
89,364,"Maximum Incentive",,1,7
90,365,"Maximum Incentive",,1,7
91,1205,"Maximum Incentive",,1,7
92,5407,Terms,"Locally Determined",2,8
93,1130,Terms,,2,8
94,1133,Terms,,2,8
95,3567,Terms,,2,8
96,5437,Terms,,2,8
97,364,Terms,,2,8
98,365,Terms,,2,8
99,1205,Terms,,2,8
100,2987,"Residential Code","Solar water heaters are required on new single-family residential construction beginning 1/1/2010
Amendment made on 4/29/2019",0,9
101,1821,"Residential Code","2009 IECC, 2009 IRC with exceptions; voluntary statewide",0,9
102,380,"Residential Code","New construction must be 14%-64% more efficient than 2012 IECC levels depending on building type and square footage (i.e., HERS score of 60 to 25)<br>
Additions and remodels must be 5%-30% more efficient than 2012 IECC levels depending on building type and square footage (i.e., HERS score of 70 to 50)<br>
Residential building permit applicants for new construction or renovations must also obtain an energy audit and meet Green Points Requirements",0,9
103,3035,"Residential Code",,0,9
104,405,"Residential Code",,0,9
105,1877,"Residential Code","No mandatory statewide code",0,9
106,1878,"Residential Code","2015 IECC with significant state-specific amendments, mandatory statewide",0,9
107,1879,"Residential Code","ARM Title 24, Chapter 301.160 incorporates the 2012 IECC with state amendments and is mandatory statewide. REScheck may be used to show compliance.",0,9
108,1880,"Residential Code","1989 MEC may be adopted and enforced by local jurisdictions",0,9
109,1881,"Residential Code","2003 IECC or any successor edition is the minimum energy code for any jurisdiction that has adopted a building code; can use REScheck to show compliance.",0,9
110,1884,"Residential Code","Arkansas Energy Code, 2009 IECC with state-specific amendments, mandatory statewide; can use REScheck to show compliance.",0,9
111,1883,"Residential Code","SPS 322 of the state-developed Uniform Dwelling Code (UDC) is applicable to 1 & 2 family dwellings and incorporates the 2006 IECC with state amendments. (REScheck may be used when the code assignment is indicated to be ""Wisconsin"" in REScheck). Multi-family dwellings also comply with these codes in addition to specific changes from the SPS 363 guidelines based on 2009 IECC implemented on September 1, 2011.",0,9
112,1856,"Residential Code","State developed code, <a href=""https://www.energy.ca.gov/programs-and-topics/programs/building-energy-efficiency-standards""target=""_blank"">Title 24, Part 6</a>, exceeds 2015 IECC, and is mandatory statewide.  Buildings must also meet certain requirements set by CALGreen, the statewide green building code.",0,9
113,1909,"Residential Code","2015 IECC",0,9
114,1911,"Residential Code","2009 IRC",0,9
115,1899,"Residential Code","2009 New Mexico Energy Conservation Code, based on 2009 IECC, mandatory statewide.",0,9
116,2655,"Residential Code",,0,9
117,1900,"Residential Code","Chapter 11 of the 2015 International Residential Code; mandatory for single-family homes",0,9
118,1875,"Residential Code","2009 Michigan Uniform Energy Code (MUEC) based on 2009 IECC",0,9
119,1890,"Residential Code","2012 IECC with amendments mandatory statewide. Can use REScheck to show compliance. 
",0,9
120,2749,"Residential Code","2015 IECC with amendments",0,9
121,2976,"Residential Code","2003 IECC, Can use REScheck to show compliance",0,9
122,2483,"Residential Code",,0,9
123,4023,"Residential Code","Developers of residential developments with 25 or more dwelling units must offer prospective purchasers the option to install a solar energy system on the dwelling during purchase negotiations",0,9
124,4793,"Residential Code","2015 International Residential Code, applicable to 1- and 2-family buildings not more than three stories above grade.",0,9
125,1813,"Residential Code","2011 Georgia State Minimum Standard Energy Code; includes 2009 IECC with Georgia-specific amendments, mandatory statewide.",0,9
126,1816,"Residential Code","2012 IECC with amendments, mandatory statewide; enforcement is the responsibility of the local government's building inspections department. 

",0,9
127,1815,"Residential Code","2015 IECC is the basis for the state-developed 2018 North Carolina Energy Conservation Code. Mandatory statewide.",0,9
128,4021,"Residential Code","Solar water heaters are required on all new residential, commercial, and government development projects constructed after 07/03/2009 (effective date of the law).",0,9
129,1872,"Residential Code","The New Hampshire Energy Code is a state code that references the 2009 IECC amended to Climate Zone 6, mandatory statewide for most counties. Southern counties are considered Climate Zone 5.  REScheck can be used to comply.",0,9
130,1907,"Residential Code","The 2012 Building Energy Efficiency Standards (BEES) is a state-developed code based on the 2012 IECC with Alaska-specific amendments.",0,9
131,1869,"Residential Code","State-developed code (ECCCNYS) based on the 2015 IECC with amendments, mandatory statewide. <br>",0,9
132,1865,"Residential Code","2018 IECC mandatory for all jurisdictions.  Local governments are allowed to adopt more stringent standards provided they give notice to the Office of Energy. REScheck can be used to show compliance.",0,9
133,1871,"Residential Code","Eighth Edition, Massachusetts Building Code Residential Volume (780 CMR) -- Chapter 51 stipulates that new homes comply with 2015 IECC, with MA amendments.",0,9
134,1921,"Residential Code","2018 IECC and ASHRAE 90.1-2016, mandatory statewide.  Can use REScheck to show compliance.",0,9
135,1874,"Residential Code","2015 Vermont Residential Building Energy Standards (RBES), based on the 2015 IECC with state specific amendments, mandatory statewide; can use REScheck to show compliance. Mandatory stretch code for building projects going through the ACT 250 land use permitting process.",0,9
136,1873,"Residential Code","Maine Uniform Building and Energy Code (MUBEC) based on 2009 IRC mandatory statewide in cities or towns that have more than 4,000 residents.",0,9
137,1876,"Residential Code","The Illinois Energy Conservation Code incorporates the 2012 IECC, with Illinois specific amendments, for all residential buildings 3 or fewer stories in height (4 or less if in Chicago). This code is mandatory statewide.",0,9
138,1891,"Residential Code","Chapter 1322 (based on the 2012 IECC). Mandatory statewide, REScheck is not available",0,9
139,1888,"Residential Code","None statewide.",0,9
140,1898,"Residential Code","2012 IECC mandatory statewide",0,9
141,1923,"Residential Code","Based on the 2015 IECC with state amendments",0,9
142,3050,"Residential Code","Varies by building type.  See table below for complete schedule.",0,9
143,3360,"Residential Code","All new single-family homes or duplexes must be constructed to be ""solar-ready"".",0,9
144,2973,"Residential Code","2009 IRC applies when not superseded by Tropical Energy Code requirements.",0,9
145,1820,"Residential Code","2006 IRC mandatory statewide. Chapter 11 of the IRC provides energy conservation standards",0,9
146,1823,"Residential Code","2015 International Energy Conservation Code (IECC) with Alabama amendments",0,9
147,4716,"Residential Code",,0,9
148,1702,"Residential Code","Kansas has no statewide code for residential structures, but over 50% of the Stateâ€™s current residential construction occurs in jurisdictions that have adopted either the 2009 or 2012 version of the IECC. For new residential construction, the State requires realtors and homebuilders to fill out an energy efficiency disclosure form and provide it to potential buyers.",0,9
149,1707,"Residential Code","State developed code, Energy Efficiency Standards of the 2014 Florida Building Code (2014 FBC)
Current code based on 2015 IECC, updated in 2017",0,9
150,1705,"Residential Code","2009 IECC with amendments mandatory statewide.  Jurisdictions can adopt a more stringent code.",0,9
151,66,"Residential Code",,0,9
152,2974,"Residential Code","2009 IECC with Puerto Rico-specific amendments",0,9
153,2612,"Residential Code","2005 Connecticut State Building Code with 2013 Amendment; includes 2009 IECC
",0,9
154,2729,"Residential Code","2018 IECC, with amendments",0,9
155,402,"Residential Code",,0,9
156,1922,"Residential Code","2009 IECC is voluntary for new residential buildings. Builders or sellers of new residential buildings (single-family or multifamily residential of four units or less) are required to provide a disclosure form with information regarding the energy efficiency of the building.",0,9
157,524,"Residential Code","Eligible property is assessed at no more than the value of a conventional system",0,9
158,3865,"Residential Code",,0,9
159,4725,"Residential Code","Tropical Energy Code",0,9
160,5590,"Residential Code","2015 IECC",0,9
161,5593,"Residential Code","Chapter 11 of the 2015 IECC with amendments",0,9
162,423,"Residential Code","2009 IECC and a local Efficient Building code. Additional requirements for snowmelt systems, outdoor spas and pools, and houses 5,000 square feet or larger.",0,9
163,2491,"Residential Code","Under development",0,9
164,457,"Residential Code",,0,9
165,5595,"Residential Code","2015 IECC",0,9
166,2465,"Residential Code",,0,9
167,4966,"Residential Code","2009 International Energy Conservation Code with Southern Nevada Amendments",0,9
168,1814,"Residential Code","2009 IECC mandatory in all jurisdictions across the state. REScheck can be used to show compliance.",0,9
169,1824,"Residential Code","State energy code, based on ASHRAE 90-1975; voluntary. 
",0,9
170,1825,"Residential Code","2015 Maryland Building Performance Standards, based on 2015 IECC <br>
Can use REScheeck as compliance tools",0,9
171,1827,"Residential Code","2012 IECC with amendments; may use REScheck or ENERGY STAR documentation software to show compliance",0,9
172,1854,"Residential Code","The 2009 Uniform Construction Code is based on the 2009 IECC. It also offers alternate compliance paths through the 2009 IRC (Chapter 11) and the 2009 Pennsylvania Alternative Residential Energy Provisions (PA-Alt). In addition, several provisions from the 2015 IECC have been adopted (see link above). The residential code applies to 1- and 2-family detached homes and townhouses and is mandatory statewide. REScheck may be used to show compliance.",0,9
173,1826,"Residential Code","2012 IECC with amendments
",0,9
174,1855,"Residential Code","2018 IECC with amendments",0,9
175,1857,"Residential Code","2013 Kentucky Building Code based on 2009 IECC & 2012 IRC Mandatory",0,9
176,1858,"Residential Code","2013 Residential Code of Ohio (RCO), State-developed code based on 2009 IECC, 2009 IRC.",0,9
177,1859,"Residential Code","2005 Indiana Residential Code with 2011 Amendments (portions of Chap. 4 of the 2009 IECC adopted)
",0,9
178,1861,"Residential Code","2012 IECC with amendments, mandatory statewide; may use REScheck to show compliance",0,9
179,2462,"Residential Code",,0,9
180,1862,"Residential Code","2017 Oregon Residential Specialty Code (ORSC) for 1-2 family residential dwellings, based on the 2015 International Residential Code. Some provisions are better than the 2018 IECC. State-developed CodeComp software may be used to show compliance.",0,9
181,1863,"Residential Code","2015 IECC with state-specific amendments.  Mandatory statewide.",0,9
182,2471,"Residential Code",,0,9
183,5624,"Residential Code","Specific system size requirements for photovoltaic systems vary according to zone and lot type",0,9
184,5625,"Residential Code","Specific system size requirements for photovoltaic systems vary according building size or energy usage",0,9
185,3558,"Residential Code","Projects must meet minimum thresholds for compliance under Leadership in Energy and Environmental Design (LEED) or Build It Green (BIG) Green Point Rated (GPR) green building rating systems. Minimum thresholds vary depending on the size of the project and whether it's a new house or an addition.<br>
The City is willing to consider alternative methods of compliance including other rating systems or building codes if they are deemed equivalent in spirit and stringency to the Green Point Rated system.",0,9
186,4795,"Residential Code","Tier 1: Must complete a GreenPoint Rated Checklist or LEED Checklist<br>
Tier 2: Must be LEED certified or GreenPoint Rated<br>
High Rise Residential: Must be LEED certified",0,9
187,3687,"Residential Code","2015 IECC",0,9
188,4743,"Residential Code","Roof coverings on new construction must be Energy Star rated as highly reflective",0,9
189,4748,"Residential Code","2018 IECC",0,9
190,4871,"Residential Code","<b>Permit filed after 1/1/2009:</b> Must by 15% more energy efficient than Title 24 2005 CA Energy Efficiency Standards<br>
<b>Buildings with 5+ units; Permit filed after 1/1/2010:</b> Must be LEED, Green Point Rated, or California Green certified",0,9
191,2987,"Commercial Code",,1,10
192,1821,"Commercial Code","2009 IECC, ASHRAE 90.1-2010; voluntary statewide",1,10
193,380,"Commercial Code","Required to exceed the energy efficiency requirements of ASHRAE/IESNA Standard 90.1 Energy Standard for Building Except for Low-Rise Residential Buildings or 2012 IECC by at least 30 percent<br>
Energy modeling is required for all commercial buildings over 20,000 sq. ft.",1,10
194,3035,"Commercial Code",,1,10
195,405,"Commercial Code",,1,10
196,1877,"Commercial Code","No mandatory statewide code. ASHRAE/IESNA 90.1-2004 is mandatory for state-owned and state-funded buildings only",1,10
197,1878,"Commercial Code","2015 IECC, ASHRAE 90.1-2013, mandatory statewide",1,10
198,1879,"Commercial Code","ARM Title 24, Chapter 301.160 incorporates the 2012 IECC with state amendments and is mandatory statewide. COMcheck may be to show compliance.",1,10
199,1880,"Commercial Code","1989 MEC may be adopted and enforced by local jurisdictions",1,10
200,1881,"Commercial Code","2003 IECC or any successor edition is the minimum energy code for any jurisdiction that has adopted a building code; can use COMcheck to show compliance. In any area that does not adopt or enforce local codes, the 1993 MEC is mandatory for hotels, motels, and multifamily dwellings. 
",1,10
201,1884,"Commercial Code","2009 IECC (including ASHRAE/IESNA 90.1-2001), mandatory statewide; can use COMcheck to show compliance.",1,10
202,1883,"Commercial Code","SPS 361-366 of the state-developed Commercial Building Code is mandatory statewide. Mixed occupancy buildings shall be separately considered. Glazed structures used for production of plant life are exempt from the building thermal envelope provisions. The 2009 IECC is applicable to all commercial buildings. Both COMcheck & REScheck can be used to demonstrate compliance.",1,10
203,1856,"Commercial Code","State developed code, <a href=""https://www.energy.ca.gov/programs-and-topics/programs/building-energy-efficiency-standards""target=""_blank"">Title 24, Part 6</a>, meets or exceeds ASHRAE 90.1-2013, and is mandatory statewide.  Buildings must also meet certain requirements set by CALGreen, the statewide green building code.",1,10
204,1909,"Commercial Code","2015 IECC",1,10
205,1911,"Commercial Code","2006 IECC",1,10
206,1899,"Commercial Code","2009 New Mexico Energy Conservation Code, based on 2009 IECC, mandatory statewide.",1,10
207,2655,"Commercial Code",,1,10
208,1900,"Commercial Code","2015 IECC; mandatory for commercial, industrial, and multi-family residential building",1,10
209,1875,"Commercial Code","2009 Michigan Uniform Energy Code (MUEC) based on ASHRAE 90.1-2007",1,10
210,1890,"Commercial Code","2012 IECC with amendments mandatory statewide; ASHRAE 90.1-2007. Can use COMcheck to show compliance.",1,10
211,2749,"Commercial Code","2015 IECC with amendments",1,10
212,2976,"Commercial Code","2003 IECC, Can use COMcheck to show compliance",1,10
213,2483,"Commercial Code",,1,10
214,4023,"Commercial Code",,1,10
215,4793,"Commercial Code","2015 IECC with amendments, applicable to all commercial buildings.",1,10
216,1813,"Commercial Code","2011 Georgia State Minimum Standard Energy Code; includes 2009 IECC referencing ASHRAE 90.1-2007 with Georgia-specific amendments, mandatory statewide.",1,10
217,1816,"Commercial Code","2012 IECC with amendments, mandatory statewide; enforcement is the responsibility of the local government's building inspections department.",1,10
218,1815,"Commercial Code","2015 IECC is the basis for the state-developed 2018 North Carolina Energy Conservation Code. Mandatory statewide.",1,10
219,4021,"Commercial Code",,1,10
220,1872,"Commercial Code","The New Hampshire Energy Code is a state code that references the 2009 IECC amended to Climate Zone 6, mandatory statewide for most counties.  Southern counties are considered Climate Zone 5. COMcheck can be used to comply.",1,10
221,1907,"Commercial Code","None statewide; if building is state-financed, must comply with 2012 BEES",1,10
222,1869,"Commercial Code","State-developed code (ECCCNYS) based ASHRAE 90.1- 2013, with Energy Code Supplement is mandatory statewide. <br>",1,10
223,1865,"Commercial Code","2018 IECC mandatory for all jurisdictions.  Local governments are allowed to adopt more stringent standards provided they give notice to the Office of Energy. COMcheck can be used to show compliance.",1,10
224,1871,"Commercial Code","Eighth Edition, Massachusetts Base Building Code (780 CMR) -- Chapter 13 stipulates that new buildings comply with 2015 IECC and ASHRAE 90.1-2013, with MA amendments.",1,10
225,1921,"Commercial Code","2018 IECC and ASHRAE 90.1-2016, mandatory statewide.  Can use COMcheck to show compliance.",1,10
226,1874,"Commercial Code","2015 Vermont Guidelines for Energy Efficient Commercial Construction (CBES) is based on the 2015 IECC with amendments to incorporate ASHRAE 90.1-2013 and state-specific amendments. Mandatory statewide; can use COMcheck to show compliance.",1,10
227,1873,"Commercial Code","Maine Uniform Building and Energy Code (MUBEC) based on 2009 IECC and ASHRAE 90.1-2007 mandatory statewide in cities or towns that have more than 4,000 residents.",1,10
228,1876,"Commercial Code","The Illinois Energy Conservation Code incorporates the 2012 IECC and ASHRAE Standard 90.1-2010 (by reference) for all privately-funded commercial buildings. Standard 90.1-2010 is also required for all publicly-funded commercial buildings. This code is mandatory statewide.",1,10
229,1891,"Commercial Code","Chapter 1323 (based on ASHRAE 90.1-2010) Mandatory statewide, COMcheck is not yet available",1,10
230,1888,"Commercial Code","None statewide. State owned buildings must comply with 2006 IECC, as amended. As of July 1, 2015, state-owned commercial buildings must comply with the 2015 IECC, pursuant to Section 8.812 RSMo.’s requirement that “Such standard shall be at least as stringent as the International Energy Conservation Code 2006, or the latest version thereof.”",1,10
231,1898,"Commercial Code","2012 IECC is mandatory statewide",1,10
232,1923,"Commercial Code","Based on the 2015 IECC with state amendments",1,10
233,3050,"Commercial Code","Varies by building type.  See table below for complete schedule.",1,10
234,3360,"Commercial Code",,1,10
235,2973,"Commercial Code","2009 IECC applies when not superseded by Tropical Energy Code requirements..",1,10
236,1820,"Commercial Code","ASHRAE/IESNA 90.1-2007, and 2009 IECC for buildings not covered by ASHRAE, mandatory statewide
",1,10
237,1823,"Commercial Code","ANSI/ASHRAE/IES Standard 90.1-2013",1,10
238,4716,"Commercial Code",,1,10
239,1702,"Commercial Code","Kansas adopted the 2006 IECC as ""the applicable state standard"" for commercial and industrial buildings (see KSA 66-1227). Enforcement is provided by local jurisdictions.",1,10
240,1707,"Commercial Code","State developed code, Energy Efficiency Standards of the 2014 Florida Building Code (2010 FBC), based on 2012 IECC",1,10
241,1705,"Commercial Code","2012 IECC mandatory statewide.  Jurisdictions can adopt a more stringent code.",1,10
242,66,"Commercial Code",,1,10
243,2974,"Commercial Code","2009 IECC",1,10
244,2612,"Commercial Code","2005 Connecticut State Building Code with 2013 Amendments; includes 2009 IECC
",1,10
245,2729,"Commercial Code","2018 IECC, with amendments",1,10
246,402,"Commercial Code",,1,10
247,1922,"Commercial Code","2015 IBC may be amended and enforced locally. It is voluntary state-wide.",1,10
248,524,"Commercial Code",,1,10
249,3865,"Commercial Code",,1,10
250,4725,"Commercial Code","Tropical Energy Code",1,10
251,5590,"Commercial Code","2015 IECC; 2013 ASHRAE 90.1",1,10
252,5593,"Commercial Code","2015 IECC with amendments and ASHRAE 90.1-2013",1,10
253,423,"Commercial Code","2009 IECC with local amendments. Special requirements for snowmelt systems and outdoor spas and pools.",1,10
254,2491,"Commercial Code","Building must achieve a certain amount of points, determined by building size",1,10
255,457,"Commercial Code",,1,10
256,5595,"Commercial Code","2015 IECC",1,10
257,2465,"Commercial Code",,1,10
258,4966,"Commercial Code","2009 International Energy Conservation Code with Southern Nevada Amendments",1,10
259,1814,"Commercial Code","2009 IECC mandatory in all jurisdictions across the state. COMcheck can be used to show compliance. 
",1,10
260,1824,"Commercial Code","ASHRAE 90-1975, mandatory for state owned buildings, public buildings, and high-rise buildings. 
",1,10
261,1825,"Commercial Code","ASHRAE standard 90.1-2013 <br>
Can use COMcheck as compliance tools",1,10
262,1827,"Commercial Code","ASHRAE Standard 90.1-2010 with amendments; may use COMcheck to show compliance",1,10
263,1854,"Commercial Code","The 2009 Uniform Construction Code is based on the 2009 IECC with reference to ASHRAE 90.1-2007. The commercial code applies to nonresidential buildings and is mandatory statewide. COMcheck may be used to show compliance.
",1,10
264,1826,"Commercial Code","2012 IECC with amendments, comparable to ASHRAE 90.1-2007 and ASHRAE 90.1-2010. 
",1,10
265,1855,"Commercial Code","ASHRAE Standard 90.1-2016 with amendments",1,10
266,1857,"Commercial Code","2013 Kentucky Residential Code based 2012 IECC Mandatory",1,10
267,1858,"Commercial Code","2016 Ohio Building Code (OBC), based on the 2012 IECC and ASHRAE 90.1-2010 with amendments.",1,10
268,1859,"Commercial Code","2010 Indiana Energy Conservation Code (ASHRAE 90.1-2007 Mandatory)
",1,10
269,1861,"Commercial Code","2012 IECC, ASHRAE 90.1-2010, mandatory statewide; may use COMcheck to show compliance.",1,10
270,2462,"Commercial Code",,1,10
271,1862,"Commercial Code","2019 Oregon Zero Energy Ready Commercial Code for non-residential buildings, based on the ASHRAE Standard 90.1-2016, is mandatory statewide.  COMcheck may be used to show compliance.",1,10
272,1863,"Commercial Code","2015 IECC with state-specific amendments.  Mandatory statewide.",1,10
273,2471,"Commercial Code",,1,10
274,5624,"Commercial Code",,1,10
275,5625,"Commercial Code","Specific system size requirements for photovoltaic systems vary according building size or energy usage",1,10
276,3558,"Commercial Code","Projects must meet minimum thresholds for compliance under Leadership in Energy and Environmental Design (LEED) or Build It Green (BIG) Green Point Rated (GPR) green building rating systems. Minimum thresholds vary depending on the size of the project and whether it's a new building or an addition.<br>
The City is willing to consider alternative methods of compliance including other rating systems or building codes if they are deemed equivalent in spirit and stringency to the Green Point Rated system.",1,10
277,4795,"Commercial Code","Tier 1: Must complete a GreenPoint Rated Checklist or LEED Checklist<br>
Tier 2: Must be LEED Silver certified",1,10
278,3687,"Commercial Code","2015 IECC",1,10
279,4743,"Commercial Code","Roof coverings on new construction must be Energy Star rated as highly reflective",1,10
280,4748,"Commercial Code","2018 IECC",1,10
281,4871,"Commercial Code","<b>Permit filed after 1/1/2009:</b> Must be 15% more energy efficient than Title 24 2005 CA Energy Efficiency Standards<br>
<b>10,000-24,999 sq. ft.; Permit filed after 1/1/2010:</b> Must be LEED certified or equivalent<br>
<b>25,000 sq. ft. or more; Permit filed after 1/1/2010:</b> Must be LEED silver certified or equivalent<br>
<b>High-Rise Building; Permit filed after 1/1/2010:</b> Must be LEED silver certified or equivalent
",1,10
282,2987,"Code Change Cycle",,2,11
283,1821,"Code Change Cycle","No set schedule. The new editions of the code are reviewed for possible adoption as soon as they become available.",2,11
284,380,"Code Change Cycle",,2,11
285,3035,"Code Change Cycle",,2,11
286,405,"Code Change Cycle",,2,11
287,1877,"Code Change Cycle","No set schedule. Arizona is a home rule state, and legislation is the normal route through which changes in the energy code proceed.",2,11
288,1878,"Code Change Cycle","Code changes are ongoing with new editions of codes adopted when they become available. Most recent update took effect: July 1, 2016.",2,11
289,1879,"Code Change Cycle","Three-year code review/change cycle. The most recent update became effective in November 2014",2,11
290,1880,"Code Change Cycle","Three-year review cycle concurrent with the publications of new editions of the model codes. 
",2,11
291,1881,"Code Change Cycle","No set schedule. Most recent code update July 1, 2008. 
",2,11
292,1884,"Code Change Cycle","No set schedule. Most recent residential update effective: January 1, 2015
",2,11
293,1883,"Code Change Cycle","Codes are updated automatically and on an ongoing basis through various citizen advisory project committees and the Wisconsin Building Code Advisory Review Board. Most recent update to SPS 363 code was effective September 1, 2011.  
",2,11
294,1856,"Code Change Cycle","Three-year code change cycle. The 2016 Standards took effect January 1, 2017.",2,11
295,1909,"Code Change Cycle","No set schedule. Last updated in July 2015.",2,11
296,1911,"Code Change Cycle","No set schedule. Most recent change was effective November 1, 2015.",2,11
297,1899,"Code Change Cycle","Generally reviewed at least every three years with the publication of the new editions of the model codes. Most recent code update effective June 28, 2013.",2,11
298,2655,"Code Change Cycle",,2,11
299,1900,"Code Change Cycle","No set schedule. The energy codes are reviewed after issue of a notification in the Texas Register of SECO's intent to adopt an updated energy code.",2,11
300,1875,"Code Change Cycle","Three-year code review schedule. 
",2,11
301,1890,"Code Change Cycle","The state energy code is reviewed on a three-year code cycle corresponding to publication of the IECC. Written requests for changes to the state energy code can be submitted to the state Building Code Bureau. All suggested code revisions are processed through the state administrative rule-making process involving publication, public comments, and public hearings. The latest code update was on June 1, 2014.",2,11
302,2749,"Code Change Cycle","3 years, beginning with the 2006 code",2,11
303,2976,"Code Change Cycle",,2,11
