id,name,state_id,utility_id
172,"City of Batavia",17,1325
173,"Village of Bartley",32,1326
174,"Bath Electric Gas & Water Sys",37,1343
175,"City of Battle Creek",32,1346
176,"City of Baudette",27,1353
177,"City of Bay City",26,1366
178,"Bayfield Electric Coop, Inc",26,1367
179,"Bayfield Electric Coop, Inc",57,1367
180,"City of Bayard",32,1374
181,"Village of Beach City",40,1386
182,"City of Benham",21,1387
183,"Beartooth Electric Coop, Inc",30,1417
184,"Beartooth Electric Coop, Inc",58,1417
185,"Beatrice City of",32,1427
186,"Beaver City Corporation",51,1434
187,"City of Beaver City",32,1435
188,"City of Bedford",54,1456
189,"Beauregard Electric Coop, Inc",22,1458
190,"Belhaven Town of",38,1494
191,"City of Belleville",20,1512
192,"City of Bellevue",19,1515
193,"Bellville City of",50,1519
194,"Village of Belmont",57,1522
195,"Town of Belmont",25,1523
196,"City of Beloit",20,1525
197,"Beltrami Electric Coop, Inc",27,1529
198,"City of Benkelman",32,1554
199,"City of Bennettsville",47,1566
200,"Benson Town of",38,1571
201,"City of Benson",27,1573
202,"Benton County",49,1578
203,"PUD No 1 of Benton County",55,1579
204,"Benton City of",5,1581
205,"City of Benton",21,1582
206,"Village of Benton",57,1585
207,"City of Bentonville",5,1586
208,"Big Country Electric Coop, Inc",50,1591
209,"City of Beresford",48,1601
210,"Village of Bergen",37,1604
211,"Berkeley Electric Coop Inc",47,1613
212,"Berlin Town of",24,1615
213,"Borough of Berlin",44,1618
214,"Benton Rural Electric Assn",55,1625
215,"City of Bessemer Utilities",1,1640
216,"City of Bethany",29,1647
217,"Village of Bethany",17,1648
218,"Village of Bethel",40,1650
219,"Bethel Utilities Corp",2,1651
220,"Big Flat Electric Coop Inc",30,1671
221,"Big Horn Rural Electric Co",30,1675
222,"Big Horn Rural Electric Co",58,1675
223,"Village of Bloomdale",40,1677
224,"Big Horn County Elec Coop, Inc",30,1683
225,"Big Horn County Elec Coop, Inc",58,1683
226,"City of Big Stone City",48,1698
227,"City of Biggs",6,1702
228,"Big Sandy Rural Elec Coop Corp",21,1708
229,"Big Bend Electric Coop, Inc",55,1723
230,"City of Blue Mound",20,1726
231,"Blachly-Lane Cnty Coop El Assn",42,1736
232,"Birch Creek Village Elec Util",2,1747
233,"City of Biwabik",27,1753
234,"Black River Electric Coop, Inc",47,1763
235,"Black Diamond Power Co",56,1764
236,"Village of Black Earth",57,1765
237,"Black Hills Electric Coop, Inc",48,1769
238,"Black River Electric Coop",29,1775
239,"City of Black River Falls",57,1776
240,"Town of Basin",58,1779
241,"Black Warrior Elec Member Corp",1,1780
242,"Town of Blackstone",54,1795
243,"City of Blackwell",41,1800
244,"City of Blaine",55,1818
245,"Borough of Blakely",44,1823
246,"City of Bigelow",19,1824
247,"City of Bigelow",27,1824
248,"City of Blakely",13,1826
249,"Village of Blanchester",40,1832
250,"City of Blanding",51,1839
251,"Block Island Power Co",46,1857
252,"Bloomer Electric & Water Co",57,1866
253,"Bloomfield City of",19,1869
254,"City of Blooming Prairie",27,1871
255,"City of Blountstown",12,1876
256,"City of Blue Earth",27,1883
257,"Blue Earth-Nicollet-Faribault",27,1884
258,"Blue Grass Energy Coop Corp",21,1886
259,"Blue Ridge Elec Member Corp",38,1889
260,"Blue Ridge Electric Coop Inc",47,1890
261,"Blue Ridge Mountain E M C",13,1891
262,"Blue Ridge Mountain E M C",49,1891
263,"Bluebonnet Electric Coop, Inc",50,1892
264,"City of Bluffton",18,1896
265,"Bon Homme Yankton El Assn, Inc",48,1898
266,"City of Boerne",50,1913
267,"Bolivar Energy Authority",49,1936
268,"City of Bridgeport Utilities",32,1955
269,"City of Bonners Ferry",16,1956
270,"Boone Valley Electric Coop",19,1968
271,"Village of Boonville",37,1970
272,"Town of Bostic",38,1987
273,"City of Boscobel",57,1997
274,"Boone Electric Coop",29,2001
275,"City of Boulder",33,2008
276,"City of Bountiful",51,2010
277,"Bowie-Cass Electric Coop, Inc",50,2049
278,"City of Bowie",50,2050
279,"City of Bowling Green",40,2054
280,"City of Bowling Green",21,2056
281,"Town of Boyce",22,2064
282,"Town of Boylston",25,2086
283,"Bozrah Light & Power Company",8,2089
284,"Village of Brainard",32,2120
285,"Bradner Village of",40,2128
286,"City of Brady",50,2135
287,"Brainerd Public Utilities",27,2138
288,"Braintree Town of",25,2144
289,"City of Breckenridge",27,2182
290,"City of Breda",19,2183
291,"City of Breese",17,2188
292,"Bremen Electric Light & Power Co",18,2192
293,"City of Brenham",50,2194
294,"Village of Brewster",40,2205
295,"Brewster City of",27,2206
296,"Bridgeport City of",50,2210
297,"Broad River Electric Coop, Inc",38,2212
298,"Broad River Electric Coop, Inc",47,2212
299,"Bridger Valley Elec Assn, Inc",51,2215
300,"Bridger Valley Elec Assn, Inc",58,2215
301,"Brigham City Corporation",51,2220
302,"Town of Brinson",13,2236
303,"Bristol City of",49,2247
304,"Bristol Virginia Utilities",49,2248
305,"Bristol Virginia Utilities",54,2248
306,"City of Bronson",20,2270
307,"Village of Brocton",37,2272
308,"Brodhead Water & Lighting Comm",57,2273
309,"City of Broken Bow",32,2277
310,"Brookings City of",48,2285
311,"City of Brooklyn",19,2287
312,"Town of Brooklyn",18,2289
313,"Town of Brookston",18,2304
314,"Brown County Rural Elec Assn",27,2316
315,"Brown-Atchison E C A Inc",20,2354
316,"Burke-Divide Electric Coop Inc",39,2394
317,"City of Brownfield",50,2404
318,"Brownsville Public Utilities Board",50,2409
319,"City of Brownsville",49,2411
320,"City of Brownton",27,2412
321,"City of Brundidge",1,2423
322,"City of Bryan",40,2439
323,"City of Bryan",50,2442
324,"City of Bryant",48,2448
325,"City of Buffalo",27,2485
326,"City of Buford",13,2487
327,"City of Buhl",27,2491
328,"Buckeye Rural Elec Coop, Inc",40,2502
329,"City of Burbank Water and Power",6,2507
330,"City of Burke",48,2534
331,"City of Burley",16,2545
332,"City of Burlingame",20,2547
333,"City of Burlington-Electric",52,2548
334,"City of Burlington",7,2550
335,"City of Burlington",20,2551
336,"City of Burlington",41,2553
337,"City of Burnet",50,2559
338,"Burt County Public Power Dist",32,2599
339,"City of Burt",19,2600
340,"City of Burwell",32,2609
341,"City of Bushnell",12,2633
342,"City of Bushnell",17,2634
343,"Butler Rural El Coop Assn, Inc",20,2641
344,"Butler Public Power District",32,2643
345,"Butler City of",29,2647
346,"Borough of Butler",35,2650
347,"Butler Rural Electric Coop Inc",40,2651
348,"Butler County Rural Elec Coop",19,2652
349,"Butte Electric Coop, Inc",48,2655
350,"C & L Electric Coop Corp",5,2678
351,"City of Cabool",29,2726
352,"Village of Cadott",57,2759
353,"City of Cairo",13,2773
354,"CMS Electric Coop Inc",20,2774
355,"Cairo Public Utility Company",17,2776
356,"City of Caldwell",50,2800
357,"City of Callender",19,2809
358,"City of Caledonia",27,2810
359,"City of Calhoun",13,2812
360,"Caliente City of",33,2821
361,"Central Electric Power Assn",28,2849
362,"City of California",29,2851
363,"Village of Callaway",32,2859
364,"City of Cambridge",32,2888
365,"City of Camden",47,2890
366,"City of Cameron",29,2900
367,"Canoochee Electric Member Corp",13,2903
368,"City of Camilla",13,2910
369,"Canadian Valley Elec Coop, Inc",41,2911
370,"City of Campbell",29,2930
371,"Village of Campbell",32,2931
372,"Canby Utility Board",42,2955
373,"Caney Fork Electric Coop, Inc",49,2960
374,"Caney Valley El Coop Assn, Inc",20,2961
375,"Cannelton Utilities",18,2964
376,"Canton Municipal Utilities",28,2974
377,"Cape Hatteras Elec Member Corp",38,2982
378,"Capital Electric Coop, Inc",39,2985
379,"Cam Wal Electric Coop, Inc",48,2986
380,"Carbon Power & Light, Inc",58,2998
381,"Village of Carey",40,3008
382,"City of Carlisle",19,3029
383,"Carlyle City of",17,3037
384,"Carmi City of",17,3040
385,"Progress Energy Carolinas Inc",38,3046
386,"Progress Energy Carolinas Inc",47,3046
387,"Carroll County",49,3075
388,"Carroll Electric Coop, Inc",40,3076
389,"Carroll Electric Member Corp",13,3081
390,"Carrollton Board of Public Wks",29,3082
391,"Carroll County REMC",18,3086
392,"Carroll Electric Coop Corp",5,3093
393,"Carroll Electric Coop Corp",29,3093
394,"Carteret-Craven El Member Corp",38,3107
395,"Cartersville City of",13,3108
396,"Cass Electric Coop",19,3111
397,"City of Carthage",29,3113
398,"City of Cascade Locks",42,3136
399,"Cascade Municipal Utilities",19,3137
400,"Cavalier Rural Elec Coop, Inc",39,3138
401,"City of Casey",17,3153
402,"Village of Cashton",57,3156
403,"Village of Castile",37,3164
404,"City of Castroville",50,3168
405,"Borough of Catawissa",44,3170
406,"City of Cavalier",39,3186
407,"City of Cawker City",20,3191
408,"Cedar Falls Utilities",19,3203
409,"Cedar-Knox Public Power Dist",32,3205
410,"Cedarburg Light & Water Comm",57,3208
411,"Celina City of",40,3216
412,"Central Alabama Electric Coop",1,3222
413,"Central Rural Electric Cooperative, Inc",41,3226
414,"City of Center",7,3227
415,"Town of Centerville",18,3230
416,"City of Central City",32,3235
417,"Central Electric Coop, Inc",48,3236
418,"Central Electric Coop Inc",42,3240
419,"Central Florida Elec Coop, Inc",12,3245
420,"Central Georgia El Member Corp",13,3248
421,"Central Hudson Gas & Elec Corp",37,3249
422,"Central Electric Membership Corporation",38,3250
423,"Central Lincoln People's Ut Dt",42,3264
424,"Cleco Power LLC",22,3265
425,"Central Maine Power Co",23,3266
426,"Central Missouri Elec Coop Inc",29,3268
427,"Central New Mexico El Coop, Inc",36,3273
428,"AEP Texas Central Company",50,3278
429,"Central Texas Elec Coop, Inc",50,3282
430,"Central Valley Elec Coop, Inc",36,3287
431,"Central Virginia Electric Coop",54,3291
432,"Central Vermont Pub Serv Corp",52,3292
433,"Central Wisconsin Elec Coop",57,3293
434,"City of Centralia",20,3294
435,"City of Centralia",55,3295
436,"Centralia City of",29,3296
437,"Village of Centuria",57,3298
438,"Chariton Valley Elec Coop, Inc",19,3314
439,"Charles Mix Electric Assn, Inc",48,3315
440,"Town of Chalmers",18,3323
441,"Borough of Chambersburg",44,3329
442,"City of Chanute",20,3355
443,"City of Ceylon",27,3356
444,"City of Chapman",20,3366
445,"City of Chappell",32,3373
446,"City of Charlevoix",26,3384
447,"Caddo Electric Coop, Inc",41,3390
448,"City of Chaska",27,3400
449,"Village of Chatham",17,3405
450,"City of Chattahoochee",12,3406
451,"Chattanooga City of",13,3408
452,"Chattanooga City of",49,3408
453,"PUD No 1 of Chelan County",55,3413
454,"Village of Chelsea",26,3415
455,"City of Cheney",55,3420
456,"City of Chignik",2,3421
457,"City of Chefornak",2,3422
458,"Cherokee Electric Coop",1,3426
459,"Cherry-Todd Electric Coop, Inc",32,3435
460,"Cherry-Todd Electric Coop, Inc",48,3435
461,"Cherryland Electric Coop Inc",26,3436
462,"City of Cherryville",38,3437
463,"Village of Chester",32,3445
464,"Town of Chester",25,3447
465,"City of Chetopa",20,3454
466,"City of Chewelah",55,3459
467,"Cheyenne Light Fuel & Power Co",58,3461
468,"Chitina Electric Inc",2,3465
469,"Cherokee County Elec Coop Assn",50,3470
470,"City of Chickamauga",13,3475
471,"Chicopee City of",25,3477
472,"Cimarron Electric Coop",41,3478
473,"Chillicothe Municipal Utils",29,3486
474,"Chimney Rock Public Power Dist",32,3495
475,"Chippewa Valley Electric Coop",57,3498
476,"Choctawhatche Elec Coop, Inc",12,3502
477,"Choptank Electric Coop, Inc",24,3503
478,"Chugach Electric Assn Inc",2,3522
479,"Village of Churchville",37,3525
480,"Choctaw Electric Coop Inc",41,3527
481,"City of Cimarron",20,3535
482,"Duke Energy Ohio Inc",40,3542
483,"Citizens Electric Co",44,3597
484,"Citizens Electric Corporation",29,3600
485,"City of McLaughlin",48,3633
486,"City of Nixa",29,3634
487,"Claiborne Electric Coop, Inc",22,3641
488,"PUD No 1 of Clallam County",55,3644
489,"City of Claremore",41,3647
490,"PUD No 1 of Clark County",55,3660
491,"Clark Energy Coop Inc",21,3687
492,"Clark Electric Coop",57,3701
493,"Clarksdale Public Utilities",28,3702
494,"Clarksville City of",49,3704
495,"Clarksville Light & Water Co",5,3705
496,"City of Clay Center",20,3710
497,"Clay County Electric Coop Corp",5,3712
498,"Clay County Electric Coop Corp",29,3712
499,"Clay-Union Electric Corp",48,3716
500,"Clarke Electric Coop Inc",19,3722
501,"Clay Electric Coop Inc",17,3726
502,"Town of Clayton",38,3731
503,"Town of Clayton",9,3732
504,"City of Colman",48,3735
505,"Clearwater Power Company",16,3739
506,"Clearwater Power Company",42,3739
507,"Clearwater Power Company",55,3739
508,"Cleveland Electric Illum Co",40,3755
509,"Clay Electric Cooperative, Inc",12,3757
510,"Cleveland City of",49,3758
511,"City of Cleveland",40,3762
512,"Clearwater-Polk Elec Coop Inc",27,3764
513,"City of Clewiston",12,3774
514,"Clinton Combined Utility Sys",47,3804
515,"Clinton County Elec Coop, Inc",17,3806
516,"Clinton City of",49,3812
517,"Clinton Village of",26,3813
518,"City of Clintonville",57,3814
519,"Town of Coatesville",18,3815
520,"Clyde Light & Power",40,3824
521,"Cloverland Electric Co-op",26,3828
522,"Coahoma Electric Power Assn",28,3839
523,"Coast Electric Power Assn",28,3841
524,"Coastal Electric Member Corp",13,3843
525,"Coastal Electric Coop, Inc",47,3844
526,"Codington-Clark Elec Coop, Inc",48,3850
527,"Columbia Power System",49,3855
528,"City of Cody",58,3881
529,"City of Coffeyville",20,3892
530,"City of Coffeyville",41,3892
531,"City of Coggon",19,3900
532,"City of Colby",20,3913
533,"Coldwater Board of Public Util",26,3915
534,"Cobb Electric Membership Corp",13,3916
535,"City of Coleman",50,3923
536,"Coles-Moultrie Electric Coop",17,3931
537,"Coleman County Elec Coop, Inc",50,3938
538,"City of College Park",13,3939
539,"City of College Station",50,3940
540,"City of Collins",28,3957
541,"Collinsville City of",41,3986
542,"Colorado Springs City of",7,3989
543,"Colorado River Indian Irr Proj",4,3990
544,"Colorado River Indian Irr Proj",6,3990
545,"City of Colton",6,4003
546,"Columbia Basin Elec Cooperative, Inc",42,4005
547,"City of Columbia City",18,4007
548,"Columbia Power Coop Assn Inc",42,4008
549,"Calhoun County Elec Coop Assn",19,4040
550,"Columbia Rural Elec Assn, Inc",42,4041
551,"Columbia Rural Elec Assn, Inc",55,4041
552,"City of Columbia",29,4045
553,"Columbiana City of",40,4061
554,"Columbus Southern Power Co",40,4062
555,"Co-Mo Electric Coop Inc",29,4063
556,"City of Columbus",40,4065
557,"City of Columbus",28,4068
558,"Columbus Electric Coop, Inc",4,4071
559,"Columbus Electric Coop, Inc",36,4071
560,"City of Columbus",57,4073
561,"City of Comanche",41,4078
562,"City of Commerce",13,4091
563,"Commonwealth Edison Co",17,4110
564,"Community Electric Coop",54,4117
565,"Concho Valley Elec Coop Inc",50,4146
566,"Town of Concord",25,4147
567,"Concord City of",38,4150
568,"Concordia Electric Coop, Inc",22,4153
569,"Callaway Electric Cooperative",29,4160
570,"Connecticut Light & Power Co",8,4176
571,"Consolidated Edison Co-NY Inc",37,4226
572,"Consolidated Electric Coop",29,4237
573,"Consolidated Water Power Co",57,4247
574,"Consumers Energy Co",26,4254
575,"Cooke County Elec Coop Assn",50,4262
576,"Continental Divide El Coop Inc",36,4265
577,"Conway Corporation",5,4280
578,"Cookeville City of",49,4294
579,"Comanche County Elec Coop Assn",50,4295
580,"Cookson Hills Elec Coop, Inc",41,4296
581,"City of Corwith",19,4304
582,"City of Coon Rapids",19,4305
583,"Coos-Curry Electric Coop, Inc",42,4317
584,"Copan Public Works Authority",41,4319
585,"Coosa Valley Electric Coop Inc",1,4327
586,"Copper Valley Elec Assn, Inc",2,4329
587,"Corbin City Utilities Comm",21,4341
588,"City of Cordell",41,4344
589,"Cooperative L&P Assn Lake Cnty",27,4346
590,"Colorado River Comm of Nevada",33,4356
591,"Corn Belt Energy Corporation",17,4362
592,"Town of Cornelius",38,4365
593,"City of Cornell",57,4369
594,"Cornhusker Public Power Dist",32,4373
595,"City of Corning",19,4375
596,"City of Corona",6,4390
597,"Cotton Electric Coop, Inc",41,4401
598,"City of Coulee Dam",55,4414
599,"Covington City of",18,4429
600,"Covington Electric Coop, Inc",1,4430
601,"Coweta-Fayette El Member Corp",13,4432
602,"Covington City of",13,4433
603,"City of Covington",49,4437
604,"PUD No 1 of Cowlitz County",55,4442
605,"Cozad Board of Public Works",32,4459
606,"Craig-Botetourt Electric Coop",54,4471
607,"Craig-Botetourt Electric Coop",56,4471
608,"City of Crane",29,4483
609,"Crane Town of",18,4486
610,"Crawfordsville Elec, Lgt & Pwr",18,4508
611,"Craighead Electric Coop Corp",5,4509
612,"Crawford Electric Coop, Inc",29,4524
613,"City of Crete",32,4527
614,"Crisp County Power Comm",13,4538
615,"City of Croswell",26,4562
616,"Crow Wing Cooperative Power & Light Comp",27,4577
617,"City of Crystal Falls",26,4604
618,"City of Cuba City",57,4607
619,"City of Cuba",29,4608
620,"Cuero City of",50,4610
621,"Cullman Power Board",1,4617
622,"Cullman Electric Coop, Inc",1,4618
623,"Town of Culpeper",54,4619
624,"Cumberland Valley Rural E C C",21,4622
625,"Cumberland Valley Rural E C C",49,4622
626,"Cumberland Elec Member Corp",49,4624
627,"Cumberland City of",57,4627
628,"Cuming County Public Pwr Dist",32,4632
629,"City of Curtis",32,4661
630,"City of Cushing",41,4667
631,"Custer Public Power District",32,4671
632,"Cuivre River Electric Coop Inc",29,4675
633,"City of Cuyahoga Falls",40,4683
634,"Village of Cygnet",40,4685
635,"D S & O Rural E C A, Inc",20,4704
636,"Dahlberg Light & Power Co",57,4715
637,"Dakota Valley Elec Coop Inc",39,4717
638,"Dakota Energy Coop Inc",48,4720
639,"City of Custar",40,4725
640,"Dallas Town of",38,4739
641,"Consumers Power, Inc",42,4743
642,"Dalton Utilities",13,4744
643,"City of Danville",19,4791
644,"Village of Daggett",26,4792
645,"City of Danville",54,4794
646,"Darke Rural Electric Coop, Inc",40,4796
647,"Darlington Light & Power Co",18,4799
648,"City of David City",20,4836
649,"City of David City",32,4836
650,"Daviess Martin County R E M C",18,4848
651,"Dawson Power District",32,4911
652,"Village of Davenport",32,4914
653,"Dayton City of",19,4919
654,"City of Dayton",49,4920
655,"Dayton Power & Light Co",40,4922
656,"Village of De Witt",32,4934
657,"Deaf Smith Electric Coop, Inc",50,4939
658,"Decatur Utilities",1,4958
659,"Aniak Light & Power Co Inc",2,4959
660,"Decatur County Rural E M C",18,4960
661,"Village of Decatur",32,4961
662,"Deep East Texas Elec Coop Inc",50,4975
663,"City of Deaver",58,4981
664,"Delano Municipal Utilities",27,5015
665,"Delaware County Elec Coop Inc",37,5021
666,"Delmarva Power",9,5027
667,"Delmarva Power",24,5027
668,"Delmarva Power",54,5027
669,"City of Delta",7,5036
670,"City of Denison",19,5056
671,"City of Denton",50,5063
672,"Delaware Electric Cooperative",9,5070
673,"Town of Dunreith",18,5071
674,"City of Denver",19,5076
675,"Denton County Elec Coop, Inc",50,5078
676,"Delta Montrose Electric Assn",7,5086
677,"Village of Deshler",40,5096
678,"City of Deshler",32,5097
679,"City of Detroit",26,5107
680,"Detroit Edison Co",26,5109
681,"City of Detroit Lakes",27,5111
682,"City of Dickson",49,5148
683,"City of Dighton",20,5154
684,"City of Dike",19,5155
685,"Dixie Electric Power Assn",28,5175
686,"Dixie Electric Membership Corp",22,5202
687,"Dixie Electric Coop",1,5204
688,"City of Doerun",13,5236
689,"City of Dothan",1,5309
690,"City of Douglas",13,5325
691,"PUD No 1 of Douglas County",55,5326
692,"Douglas Electric Coop, Inc",42,5327
693,"Douglas Electric Coop, Inc",48,5328
694,"Doniphan Elec Coop Assn, Inc",20,5334
695,"Dover City of",9,5335
696,"City of Dover",40,5336
697,"City of Dowagiac",26,5343
698,"Village of Dorchester",32,5350
699,"City of Drain",42,5354
700,"Town of Drexel",38,5372
701,"Dublin Municipal Electric Util",18,5392
702,"Dubois Rural Electric Coop Inc",18,5394
703,"City of Dunnell",27,5397
704,"Duck River Elec Member Corp",49,5399
705,"City of Due West",47,5402
706,"Duke Energy Carolinas, LLC",38,5416
707,"Duke Energy Carolinas, LLC",47,5416
708,"Dunn County Electric Coop",57,5417
709,"City of Duncan",41,5429
710,"Duncan Valley Elec Coop, Inc",4,5438
711,"Duncan Valley Elec Coop, Inc",36,5438
712,"Duncannon Borough of",44,5442
713,"City of Durant",28,5479
714,"Town of Danvers",25,5480
715,"Duquesne Light Co",44,5487
716,"City of Dyersburg",49,5509
717,"City of Dysart",19,5518
718,"City of Durant",19,5529
719,"Edgar Electric Co-op, Assn",17,5531
720,"Egyptian Electric Coop Assn",17,5535
721,"City of Eagle River",57,5551
722,"Egegik Light & Power Co",2,5553
723,"City of Earlville",19,5563
724,"East Central Energy",27,5574
725,"East Central Energy",57,5574
726,"East Grand Forks City of",27,5575
727,"East Mississippi Elec Pwr Assn",28,5578
728,"East Kentucky Power Coop, Inc",21,5580
729,"City of East Point",13,5582
730,"City of Easton",29,5583
731,"East End Mutual Elec Co Ltd",16,5584
732,"Eastern Illinois Elec Coop",17,5585
733,"Borough of East Conemaugh",44,5586
734,"East-Central Iowa Rural Elec Coop",19,5588
735,"East Central Oklahoma Elec Coop Inc",41,5598
736,"Eastern Iowa Light & Power Coop",19,5605
737,"Eastern Maine Electric Coop",23,5609
738,"Easton Utilities Comm",24,5625
739,"City of Eaton Rapids",26,5630
740,"Town of Eatonville",55,5631
741,"Eau Claire Electric Coop",57,5632
742,"Edisto Electric Coop, Inc",47,5644
743,"City of Edgar",32,5650
744,"Edgerton Village of",40,5653
745,"Edinburg Municipal Utilities",18,5655
746,"Edgecombe-Martin County E M C",38,5656
747,"City of Edmond",41,5661
748,"City of El Dorado Springs",29,5686
749,"City of Eitzen",27,5692
750,"El Paso Electric Co",36,5701
751,"El Paso Electric Co",50,5701
752,"City of Elfin Cove",2,5721
753,"Elba City of",1,5728
754,"Electrical Dist No8 Maricopa",4,5729
755,"City of Elberton",13,5730
